POS,phastCons100way,phyloP100way
1,0.129,0.19
2,0.123,0.181
3,0.115,0.163
4,0.107,0.161
5,0.098,0.181
6,0.087,0.161
7,0.076,-1.06
8,0.076,0.19
9,0.074,0.19
10,0.072,0.163
11,0.069,0.161
12,0.066,0.163
13,0.061,-1.198
14,0.065,0.163
15,0.068,0.161
16,0.07,0.181
17,0.072,0.161
18,0.073,0.161
19,0.073,0.161
20,0.072,0.163
21,0.071,0.181
22,0.069,0.163
23,0.066,0.163
24,0.063,0.181
25,0.058,0.181
26,0.053,0.161
27,0.047,0.161
28,0.041,0.181
29,0.033,-1.231
30,0.033,0.163
31,0.032,0.161
32,0.03,0.181
33,0.028,0.161
34,0.025,-1.204
35,0.027,0.19
36,0.029,0.19
37,0.03,0.181
38,0.03,0.19
39,0.029,-1.251
40,0.035,0.603
41,0.037,-1.491
42,0.064,0.603
43,0.081,0.596
44,0.091,0.596
45,0.096,0.66
46,0.097,0.603
47,0.093,-0.121
48,0.094,-0.246
49,0.103,0.66
50,0.107,0.603
51,0.106,-0.421
52,0.113,0.603
53,0.115,0.693
54,0.111,-0.385
55,0.115,0.603
56,0.114,0.66
57,0.108,0.603
58,0.096,0.146
59,0.082,0.146
60,0.068,0.146
61,0.053,-1.097
62,0.048,-0.941
63,0.049,0.594
64,0.048,-0.431
65,0.051,0.594
66,0.051,0.0
67,0.051,0.0
68,0.051,-1.455
69,0.055,-1.477
70,0.066,0.857
71,0.069,1.159
72,0.062,-0.073
73,0.058,-1.237
74,0.057,0.053
75,0.058,1.159
76,0.047,-0.09
77,0.042,1.103
78,0.025,0.05
79,0.014,-0.009
80,0.006,-0.031
81,0.001,-1.669
82,0.0,-0.063
83,0.0,-1.763
84,0.0,-1.965
85,0.001,-1.535
86,0.003,0.994
87,0.004,1.103
88,0.002,-0.035
89,0.0,-1.67
90,0.0,-0.364
91,0.0,-0.298
92,0.0,-1.257
93,0.0,-0.701
94,0.0,-0.847
95,0.001,-0.004
96,0.001,-1.358
97,0.005,-0.009
98,0.002,-0.539
99,0.002,0.055
100,0.001,0.167
101,0.0,-1.263
102,0.0,-1.723
103,0.0,-1.631
104,0.001,-0.097
105,0.003,0.994
106,0.002,-0.009
107,0.002,-0.046
108,0.002,-0.018
109,0.003,-0.046
110,0.003,-0.097
111,0.003,1.103
112,0.002,-0.564
113,0.003,0.994
114,0.002,0.045
115,0.001,-1.111
116,0.001,0.154
117,0.0,-0.401
118,0.0,-1.617
119,0.0,-1.421
120,0.0,-0.097
121,0.0,-0.508
122,0.0,-1.757
123,0.0,-1.723
124,0.002,-0.001
125,0.002,-0.773
126,0.002,-1.555
127,0.005,-1.111
128,0.023,0.994
129,0.03,0.055
130,0.04,1.159
131,0.04,0.055
132,0.041,0.994
133,0.037,1.007
134,0.022,-0.596
135,0.021,0.055
136,0.02,-0.012
137,0.02,0.026
138,0.021,1.124
139,0.015,-0.454
140,0.012,0.017
141,0.01,0.904
142,0.005,-0.101
143,0.002,-0.488
144,0.0,-1.741
145,0.0,-0.594
146,0.001,-2.095
147,0.003,0.904
148,0.003,0.999
149,0.001,0.015
150,0.0,-3.911
151,0.0,-1.473
152,0.0,-1.764
153,0.0,-1.863
154,0.0,0.146
155,0.0,-1.369
156,0.0,-1.553
157,0.0,-0.831
158,0.0,0.118
159,0.0,-3.275
160,0.0,0.269
161,0.0,-0.653
162,0.0,-0.25
163,0.001,0.229
164,0.0,-1.291
165,0.002,1.375
166,0.001,0.146
167,0.0,-0.555
168,0.0,0.054
169,0.0,-0.288
170,0.0,-0.639
171,0.0,-0.717
172,0.0,-0.209
173,0.001,0.259
174,0.0,-0.234
175,0.0,-0.017
176,0.0,-0.752
177,0.0,0.321
178,0.0,-0.047
179,0.0,-1.347
180,0.0,-0.151
181,0.0,-0.25
182,0.0,-2.014
183,0.0,-0.135
184,0.0,-1.64
185,0.0,-0.732
186,0.001,0.773
187,0.001,-0.078
188,0.0,-0.254
189,0.0,-0.075
190,0.0,0.237
191,0.0,-1.214
192,0.0,0.314
193,0.0,-0.841
194,0.0,-2.168
195,0.001,0.263
196,0.001,-0.076
197,0.002,1.472
198,0.0,-2.271
199,0.001,-0.922
200,0.004,1.053
201,0.002,0.12
202,0.002,-0.311
203,0.003,-0.075
204,0.006,1.273
205,0.02,0.225
206,0.018,0.133
207,0.018,-0.065
208,0.025,-0.697
209,0.206,1.731
210,0.226,1.98
211,0.215,-0.79
212,0.277,1.731
213,0.278,0.14
214,0.285,0.147
215,0.303,0.894
216,0.305,0.682
217,0.291,-0.66
218,0.346,0.819
219,0.368,2.013
220,0.354,1.76
221,0.205,0.308
222,0.021,-1.52
223,0.021,1.833
224,0.0,-2.227
225,0.0,-0.006
226,0.0,-0.159
227,0.001,-0.727
228,0.011,-0.397
229,0.146,0.849
230,0.178,1.98
231,0.175,0.098
232,0.18,0.291
233,0.19,1.833
234,0.066,0.257
235,0.027,-0.054
236,0.02,0.199
237,0.002,0.733
238,0.002,-0.146
239,0.002,0.781
240,0.001,-0.135
241,0.001,-0.061
242,0.0,-1.934
243,0.0,-3.775
244,0.0,-0.138
245,0.0,-1.117
246,0.005,-1.199
247,0.013,0.635
248,0.017,0.606
249,0.018,0.606
250,0.017,0.558
251,0.015,-0.198
252,0.014,0.583
253,0.012,-0.54
254,0.003,-1.199
255,0.002,-0.146
256,0.002,-0.274
257,0.002,0.638
258,0.002,-0.429
259,0.001,0.766
260,0.0,-0.38
261,0.0,-0.349
262,0.0,-1.459
263,0.0,0.178
264,0.001,0.51
265,0.0,-0.399
266,0.0,-0.081
267,0.0,-0.849
268,0.0,-0.937
269,0.0,-0.094
270,0.043,1.944
271,0.035,0.061
272,0.033,0.756
273,0.026,0.769
274,0.01,-0.021
275,0.001,-1.47
276,0.0,-0.142
277,0.0,-3.102
278,0.0,-0.763
279,0.0,-1.318
280,0.0,-0.066
281,0.001,-0.186
282,0.002,-0.082
283,0.003,0.876
284,0.002,0.015
285,0.001,0.389
286,0.0,-0.651
287,0.0,0.19
288,0.0,-0.301
289,0.0,-0.696
290,0.0,-1.525
291,0.0,0.235
292,0.0,-0.018
293,0.0,-1.049
294,0.0,0.194
295,0.0,-2.892
296,0.0,-1.216
297,0.0,-0.07
298,0.0,-1.245
299,0.0,-0.518
300,0.001,0.498
301,0.001,0.463
302,0.0,0.128
303,0.0,-0.655
304,0.0,-0.402
305,0.026,0.903
306,0.027,0.357
307,0.035,2.03
308,0.023,-0.42
309,0.02,-0.443
310,0.051,0.108
311,0.087,1.205
312,0.097,1.205
313,0.096,0.139
314,0.101,1.878
315,0.082,0.727
316,0.001,-3.18
317,0.001,-0.256
318,0.0,-1.418
319,0.0,-0.203
320,0.0,-0.608
321,0.0,-2.834
322,0.0,-1.574
323,0.0,-3.173
324,0.0,-0.745
325,0.0,-0.057
326,0.0,-2.965
327,0.0,-0.643
328,0.0,0.0
329,0.0,0.0
330,0.0,-3.456
331,0.001,0.392
332,0.002,0.866
333,0.0,-3.205
334,0.0,0.01
335,0.0,-0.164
336,0.002,1.38
337,0.001,-1.085
338,0.001,0.152
339,0.0,-0.808
340,0.0,-0.079
341,0.0,0.282
342,0.0,-0.484
343,0.0,-0.262
344,0.0,-1.859
345,0.0,-1.282
346,0.001,-0.28
347,0.011,0.155
348,0.027,-0.284
349,0.228,0.268
350,0.549,0.434
351,0.881,1.15
352,0.965,1.17
353,0.985,1.205
354,0.992,1.205
355,0.994,1.205
356,0.993,1.205
357,0.989,1.38
358,0.975,1.38
359,0.619,2.301
360,0.041,-0.61
361,0.028,-0.258
362,0.027,1.205
363,0.018,0.0
364,0.008,-0.047
365,0.005,0.269
366,0.001,-0.409
367,0.0,0.003
368,0.0,-2.354
369,0.0,-1.323
370,0.0,-0.869
371,0.0,0.057
372,0.0,-1.487
373,0.0,0.184
374,0.0,-1.33
375,0.0,-0.962
376,0.0,0.176
377,0.0,-0.999
378,0.001,0.0
379,0.001,0.687
380,0.0,-1.094
381,0.0,-1.094
382,0.0,0.085
383,0.0,-1.836
384,0.0,-0.259
385,0.001,1.748
386,0.0,-2.003
387,0.0,-1.23
388,0.0,-0.534
389,0.004,0.56
390,0.005,1.43
391,0.002,-1.511
392,0.002,0.2
393,0.001,-1.252
394,0.001,-1.347
395,0.001,-0.301
396,0.002,-0.893
397,0.004,0.762
398,0.004,0.146
399,0.004,0.146
400,0.003,0.146
401,0.002,0.146
402,0.0,-0.44
403,0.001,1.194
404,0.0,-1.233
405,0.0,-0.646
406,0.0,0.174
407,0.0,-1.974
408,0.0,-0.636
409,0.0,-0.575
410,0.0,-1.359
411,0.0,-1.454
412,0.0,-0.316
413,0.0,-1.947
414,0.0,0.075
415,0.0,-2.585
416,0.0,-1.365
417,0.0,-0.698
418,0.001,1.656
419,0.0,-2.316
420,0.0,-1.26
421,0.0,-0.012
422,0.0,-0.258
423,0.0,-1.814
424,0.0,-2.541
425,0.0,-1.759
426,0.0,-0.433
427,0.0,-0.526
428,0.0,-1.581
429,0.0,0.171
430,0.0,-1.16
431,0.0,-0.683
432,0.001,1.732
433,0.0,-1.099
434,0.0,-1.709
435,0.0,-0.947
436,0.0,-0.769
437,0.0,-0.07
438,0.0,-1.104
439,0.009,1.82
440,0.001,-0.198
441,0.002,-0.055
442,0.006,0.484
443,0.007,1.82
444,0.002,-0.219
445,0.0,-2.793
446,0.0,-0.702
447,0.0,-1.015
448,0.002,1.859
449,0.0,-2.618
450,0.0,-0.068
451,0.0,-0.91
452,0.0,-0.566
453,0.0,-0.298
454,0.003,0.681
455,0.001,0.131
456,0.0,-0.214
457,0.0,-1.85
458,0.0,0.119
459,0.0,-1.435
460,0.0,-0.202
461,0.0,-0.029
462,0.0,-0.921
463,0.001,0.004
464,0.001,-0.016
465,0.001,-0.91
466,0.001,0.956
467,0.001,-0.91
468,0.002,0.004
469,0.002,-0.101
470,0.002,0.122
471,0.003,-0.647
472,0.009,1.07
