POS,LOCUS,BIOTYPE
1,MT-DLOOP,REG
2,MT-DLOOP,REG
3,MT-DLOOP,REG
4,MT-DLOOP,REG
5,MT-DLOOP,REG
6,MT-DLOOP,REG
7,MT-DLOOP,REG
8,MT-DLOOP,REG
9,MT-DLOOP,REG
10,MT-DLOOP,REG
11,MT-DLOOP,REG
12,MT-DLOOP,REG
13,MT-DLOOP,REG
14,MT-DLOOP,REG
15,MT-DLOOP,REG
16,MT-DLOOP,REG
17,MT-DLOOP,REG
18,MT-DLOOP,REG
19,MT-DLOOP,REG
20,MT-DLOOP,REG
21,MT-DLOOP,REG
22,MT-DLOOP,REG
23,MT-DLOOP,REG
24,MT-DLOOP,REG
25,MT-DLOOP,REG
26,MT-DLOOP,REG
27,MT-DLOOP,REG
28,MT-DLOOP,REG
29,MT-DLOOP,REG
30,MT-DLOOP,REG
31,MT-DLOOP,REG
32,MT-DLOOP,REG
33,MT-DLOOP,REG
34,MT-DLOOP,REG
35,MT-DLOOP,REG
36,MT-DLOOP,REG
37,MT-DLOOP,REG
38,MT-DLOOP,REG
39,MT-DLOOP,REG
40,MT-DLOOP,REG
41,MT-DLOOP,REG
42,MT-DLOOP,REG
43,MT-DLOOP,REG
44,MT-DLOOP,REG
45,MT-DLOOP,REG
46,MT-DLOOP,REG
47,MT-DLOOP,REG
48,MT-DLOOP,REG
49,MT-DLOOP,REG
50,MT-DLOOP,REG
51,MT-DLOOP,REG
52,MT-DLOOP,REG
53,MT-DLOOP,REG
54,MT-DLOOP,REG
55,MT-DLOOP,REG
56,MT-DLOOP,REG
57,MT-DLOOP,REG
58,MT-DLOOP,REG
59,MT-DLOOP,REG
60,MT-DLOOP,REG
61,MT-DLOOP,REG
62,MT-DLOOP,REG
63,MT-DLOOP,REG
64,MT-DLOOP,REG
65,MT-DLOOP,REG
66,MT-DLOOP,REG
67,MT-DLOOP,REG
68,MT-DLOOP,REG
69,MT-DLOOP,REG
70,MT-DLOOP,REG
71,MT-DLOOP,REG
72,MT-DLOOP,REG
73,MT-DLOOP,REG
74,MT-DLOOP,REG
75,MT-DLOOP,REG
76,MT-DLOOP,REG
77,MT-DLOOP,REG
78,MT-DLOOP,REG
79,MT-DLOOP,REG
80,MT-DLOOP,REG
81,MT-DLOOP,REG
82,MT-DLOOP,REG
83,MT-DLOOP,REG
84,MT-DLOOP,REG
85,MT-DLOOP,REG
86,MT-DLOOP,REG
87,MT-DLOOP,REG
88,MT-DLOOP,REG
89,MT-DLOOP,REG
90,MT-DLOOP,REG
91,MT-DLOOP,REG
92,MT-DLOOP,REG
93,MT-DLOOP,REG
94,MT-DLOOP,REG
95,MT-DLOOP,REG
96,MT-DLOOP,REG
97,MT-DLOOP,REG
98,MT-DLOOP,REG
99,MT-DLOOP,REG
100,MT-DLOOP,REG
101,MT-DLOOP,REG
102,MT-DLOOP,REG
103,MT-DLOOP,REG
104,MT-DLOOP,REG
105,MT-DLOOP,REG
106,MT-DLOOP,REG
107,MT-DLOOP,REG
108,MT-DLOOP,REG
109,MT-DLOOP,REG
110,MT-DLOOP,REG
111,MT-DLOOP,REG
112,MT-DLOOP,REG
113,MT-DLOOP,REG
114,MT-DLOOP,REG
115,MT-DLOOP,REG
116,MT-DLOOP,REG
117,MT-DLOOP,REG
118,MT-DLOOP,REG
119,MT-DLOOP,REG
120,MT-DLOOP,REG
121,MT-DLOOP,REG
122,MT-DLOOP,REG
123,MT-DLOOP,REG
124,MT-DLOOP,REG
125,MT-DLOOP,REG
126,MT-DLOOP,REG
127,MT-DLOOP,REG
128,MT-DLOOP,REG
129,MT-DLOOP,REG
130,MT-DLOOP,REG
131,MT-DLOOP,REG
132,MT-DLOOP,REG
133,MT-DLOOP,REG
134,MT-DLOOP,REG
135,MT-DLOOP,REG
136,MT-DLOOP,REG
137,MT-DLOOP,REG
138,MT-DLOOP,REG
139,MT-DLOOP,REG
140,MT-DLOOP,REG
141,MT-DLOOP,REG
142,MT-DLOOP,REG
143,MT-DLOOP,REG
144,MT-DLOOP,REG
145,MT-DLOOP,REG
146,MT-DLOOP,REG
147,MT-DLOOP,REG
148,MT-DLOOP,REG
149,MT-DLOOP,REG
150,MT-DLOOP,REG
151,MT-DLOOP,REG
152,MT-DLOOP,REG
153,MT-DLOOP,REG
154,MT-DLOOP,REG
155,MT-DLOOP,REG
156,MT-DLOOP,REG
157,MT-DLOOP,REG
158,MT-DLOOP,REG
159,MT-DLOOP,REG
160,MT-DLOOP,REG
161,MT-DLOOP,REG
162,MT-DLOOP,REG
163,MT-DLOOP,REG
164,MT-DLOOP,REG
165,MT-DLOOP,REG
166,MT-DLOOP,REG
167,MT-DLOOP,REG
168,MT-DLOOP,REG
169,MT-DLOOP,REG
170,MT-DLOOP,REG
171,MT-DLOOP,REG
172,MT-DLOOP,REG
173,MT-DLOOP,REG
174,MT-DLOOP,REG
175,MT-DLOOP,REG
176,MT-DLOOP,REG
177,MT-DLOOP,REG
178,MT-DLOOP,REG
179,MT-DLOOP,REG
180,MT-DLOOP,REG
181,MT-DLOOP,REG
